100 126.2867  189.0172  295.8635  416.1420  516.4594  763.7392
150 170.8811  268.2759  438.7013  643.4969  783.5944 1086.4319
200 204.7832  343.1951  595.0410  838.4047 1069.5707 1452.6494
250 243.5334  417.9658  749.3399 1072.2051 1378.4634 1937.4229
300 291.0279  508.3134  932.4318 1410.9111 1732.9330 2302.9811
350 337.2126  612.7272 1129.0176 1659.7650 2081.2209 2743.0864
400 385.8891  681.5871 1333.0714 1937.4196 2446.3385 3400.6125
450 435.5878  783.8877 1517.2084 2303.8722 2882.7939 3718.8584
500 490.2749  964.5116 1727.6621 2640.0509 3270.3934 4354.6349
550 546.6369 1034.4303 1983.7734 2915.9599 3706.4002 5170.7189
